,CN,outflow_rate,a_l,h_l,v_H
0,30,0.001,0.01,1,8
1,30,0.001,0.01,1,10
2,30,0.001,0.01,1,12
3,30,0.001,0.01,5,8
4,30,0.001,0.01,5,10
5,30,0.001,0.01,5,12
6,30,0.001,0.01,10,8
7,30,0.001,0.01,10,10
8,30,0.001,0.01,10,12
9,30,0.001,0.1,1,8
10,30,0.001,0.1,1,10
11,30,0.001,0.1,1,12
12,30,0.001,0.1,5,8
13,30,0.001,0.1,5,10
14,30,0.001,0.1,5,12
15,30,0.001,0.1,10,8
16,30,0.001,0.1,10,10
17,30,0.001,0.1,10,12
18,30,0.001,0.25,1,8
19,30,0.001,0.25,1,10
20,30,0.001,0.25,1,12
21,30,0.001,0.25,5,8
22,30,0.001,0.25,5,10
23,30,0.001,0.25,5,12
24,30,0.001,0.25,10,8
25,30,0.001,0.25,10,10
26,30,0.001,0.25,10,12
27,30,0.005,0.01,1,8
28,30,0.005,0.01,1,10
29,30,0.005,0.01,1,12
30,30,0.005,0.01,5,8
31,30,0.005,0.01,5,10
32,30,0.005,0.01,5,12
33,30,0.005,0.01,10,8
34,30,0.005,0.01,10,10
35,30,0.005,0.01,10,12
36,30,0.005,0.1,1,8
37,30,0.005,0.1,1,10
38,30,0.005,0.1,1,12
39,30,0.005,0.1,5,8
40,30,0.005,0.1,5,10
41,30,0.005,0.1,5,12
42,30,0.005,0.1,10,8
43,30,0.005,0.1,10,10
44,30,0.005,0.1,10,12
45,30,0.005,0.25,1,8
46,30,0.005,0.25,1,10
47,30,0.005,0.25,1,12
48,30,0.005,0.25,5,8
49,30,0.005,0.25,5,10
50,30,0.005,0.25,5,12
51,30,0.005,0.25,10,8
52,30,0.005,0.25,10,10
53,30,0.005,0.25,10,12
54,30,0.01,0.01,1,8
55,30,0.01,0.01,1,10
56,30,0.01,0.01,1,12
57,30,0.01,0.01,5,8
58,30,0.01,0.01,5,10
59,30,0.01,0.01,5,12
60,30,0.01,0.01,10,8
61,30,0.01,0.01,10,10
62,30,0.01,0.01,10,12
63,30,0.01,0.1,1,8
64,30,0.01,0.1,1,10
65,30,0.01,0.1,1,12
66,30,0.01,0.1,5,8
67,30,0.01,0.1,5,10
68,30,0.01,0.1,5,12
69,30,0.01,0.1,10,8
70,30,0.01,0.1,10,10
71,30,0.01,0.1,10,12
72,30,0.01,0.25,1,8
73,30,0.01,0.25,1,10
74,30,0.01,0.25,1,12
75,30,0.01,0.25,5,8
76,30,0.01,0.25,5,10
77,30,0.01,0.25,5,12
78,30,0.01,0.25,10,8
79,30,0.01,0.25,10,10
80,30,0.01,0.25,10,12
81,50,0.001,0.01,1,8
82,50,0.001,0.01,1,10
83,50,0.001,0.01,1,12
84,50,0.001,0.01,5,8
85,50,0.001,0.01,5,10
86,50,0.001,0.01,5,12
87,50,0.001,0.01,10,8
88,50,0.001,0.01,10,10
89,50,0.001,0.01,10,12
90,50,0.001,0.1,1,8
91,50,0.001,0.1,1,10
92,50,0.001,0.1,1,12
93,50,0.001,0.1,5,8
94,50,0.001,0.1,5,10
95,50,0.001,0.1,5,12
96,50,0.001,0.1,10,8
97,50,0.001,0.1,10,10
98,50,0.001,0.1,10,12
99,50,0.001,0.25,1,8
100,50,0.001,0.25,1,10
101,50,0.001,0.25,1,12
102,50,0.001,0.25,5,8
103,50,0.001,0.25,5,10
104,50,0.001,0.25,5,12
105,50,0.001,0.25,10,8
106,50,0.001,0.25,10,10
107,50,0.001,0.25,10,12
108,50,0.005,0.01,1,8
109,50,0.005,0.01,1,10
110,50,0.005,0.01,1,12
111,50,0.005,0.01,5,8
112,50,0.005,0.01,5,10
113,50,0.005,0.01,5,12
114,50,0.005,0.01,10,8
115,50,0.005,0.01,10,10
116,50,0.005,0.01,10,12
117,50,0.005,0.1,1,8
118,50,0.005,0.1,1,10
119,50,0.005,0.1,1,12
120,50,0.005,0.1,5,8
121,50,0.005,0.1,5,10
122,50,0.005,0.1,5,12
123,50,0.005,0.1,10,8
124,50,0.005,0.1,10,10
125,50,0.005,0.1,10,12
126,50,0.005,0.25,1,8
127,50,0.005,0.25,1,10
128,50,0.005,0.25,1,12
129,50,0.005,0.25,5,8
130,50,0.005,0.25,5,10
131,50,0.005,0.25,5,12
132,50,0.005,0.25,10,8
133,50,0.005,0.25,10,10
134,50,0.005,0.25,10,12
135,50,0.01,0.01,1,8
136,50,0.01,0.01,1,10
137,50,0.01,0.01,1,12
138,50,0.01,0.01,5,8
139,50,0.01,0.01,5,10
140,50,0.01,0.01,5,12
141,50,0.01,0.01,10,8
142,50,0.01,0.01,10,10
143,50,0.01,0.01,10,12
144,50,0.01,0.1,1,8
145,50,0.01,0.1,1,10
146,50,0.01,0.1,1,12
147,50,0.01,0.1,5,8
148,50,0.01,0.1,5,10
149,50,0.01,0.1,5,12
150,50,0.01,0.1,10,8
151,50,0.01,0.1,10,10
152,50,0.01,0.1,10,12
153,50,0.01,0.25,1,8
154,50,0.01,0.25,1,10
155,50,0.01,0.25,1,12
156,50,0.01,0.25,5,8
157,50,0.01,0.25,5,10
158,50,0.01,0.25,5,12
159,50,0.01,0.25,10,8
160,50,0.01,0.25,10,10
161,50,0.01,0.25,10,12
162,80,0.001,0.01,1,8
163,80,0.001,0.01,1,10
164,80,0.001,0.01,1,12
165,80,0.001,0.01,5,8
166,80,0.001,0.01,5,10
167,80,0.001,0.01,5,12
168,80,0.001,0.01,10,8
169,80,0.001,0.01,10,10
170,80,0.001,0.01,10,12
171,80,0.001,0.1,1,8
172,80,0.001,0.1,1,10
173,80,0.001,0.1,1,12
174,80,0.001,0.1,5,8
175,80,0.001,0.1,5,10
176,80,0.001,0.1,5,12
177,80,0.001,0.1,10,8
178,80,0.001,0.1,10,10
179,80,0.001,0.1,10,12
180,80,0.001,0.25,1,8
181,80,0.001,0.25,1,10
182,80,0.001,0.25,1,12
183,80,0.001,0.25,5,8
184,80,0.001,0.25,5,10
185,80,0.001,0.25,5,12
186,80,0.001,0.25,10,8
187,80,0.001,0.25,10,10
188,80,0.001,0.25,10,12
189,80,0.005,0.01,1,8
190,80,0.005,0.01,1,10
191,80,0.005,0.01,1,12
192,80,0.005,0.01,5,8
193,80,0.005,0.01,5,10
194,80,0.005,0.01,5,12
195,80,0.005,0.01,10,8
196,80,0.005,0.01,10,10
197,80,0.005,0.01,10,12
198,80,0.005,0.1,1,8
199,80,0.005,0.1,1,10
200,80,0.005,0.1,1,12
201,80,0.005,0.1,5,8
202,80,0.005,0.1,5,10
203,80,0.005,0.1,5,12
204,80,0.005,0.1,10,8
205,80,0.005,0.1,10,10
206,80,0.005,0.1,10,12
207,80,0.005,0.25,1,8
208,80,0.005,0.25,1,10
209,80,0.005,0.25,1,12
210,80,0.005,0.25,5,8
211,80,0.005,0.25,5,10
212,80,0.005,0.25,5,12
213,80,0.005,0.25,10,8
214,80,0.005,0.25,10,10
215,80,0.005,0.25,10,12
216,80,0.01,0.01,1,8
217,80,0.01,0.01,1,10
218,80,0.01,0.01,1,12
219,80,0.01,0.01,5,8
220,80,0.01,0.01,5,10
221,80,0.01,0.01,5,12
222,80,0.01,0.01,10,8
223,80,0.01,0.01,10,10
224,80,0.01,0.01,10,12
225,80,0.01,0.1,1,8
226,80,0.01,0.1,1,10
227,80,0.01,0.1,1,12
228,80,0.01,0.1,5,8
229,80,0.01,0.1,5,10
230,80,0.01,0.1,5,12
231,80,0.01,0.1,10,8
232,80,0.01,0.1,10,10
233,80,0.01,0.1,10,12
234,80,0.01,0.25,1,8
235,80,0.01,0.25,1,10
236,80,0.01,0.25,1,12
237,80,0.01,0.25,5,8
238,80,0.01,0.25,5,10
239,80,0.01,0.25,5,12
240,80,0.01,0.25,10,8
241,80,0.01,0.25,10,10
242,80,0.01,0.25,10,12
